"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Salzburg";"Salzburg";"Außenlager KZ Salzburg (Dachau) – Kapitelplatz 2 (Arbeitsstätte)";"KZ-Häftlinge. Außenlager KZ Dachau. Bauleitung Waffen-SS, Unterbringung der Häftlinge im Polizeigefängnis. Erzbischöfliches Palais, ehemals 3 Domherrenhäuser, mehrfach umgebaut seit 1945";"KG Salzburg, 56537. Kapitelplatz 2";"266 (263–265?)";"13,00629071, 47,82246264";"Verzeichnis 1979; Benz und Distel 2005, 475–477; Weidenholzer 2012, 127. Salzburg. Salzburg, Bahnhof Gnigl, Kriegsgefangenenbaracken"
"Salzburg";"Salzburg";"Salzburg, Bergheim, Strafgefangenenlager";"Strafgefangene. 4 Baracken? Wiese (55/49), Restfläche Wohnsiedlung (Einfamilienhäuser)";"KG Bergheim II, 56549. Tischlerstraße 8, 10";"5/7, 5/9, 5/10, 5/13, 55/9, 55/19, 55/49";"13,0539337, 47,79715683";"Weidenholzer 2012, 125"
"Salzburg";"Salzburg";"Salzburg, DAF-Lager Aiglhofgründe";"Zwangsarbeiter. 200 Zwangsarbeiter für Rauchmühle ab 1942, davor ab 1939 55 zur Glanregulierung RAD. Teils Wiese, teils verbaut";"KG Maxglan, 56531. Innsbrucker Bundesstraße 38C";"380/1–2, 400/1";"13,01453336, 47,80771453";"Dohle und Slupetzky 2004, 107 (Plan); Weidenholzer 2012, 113"
"Salzburg";"Salzburg";"Salzburg, DRB Neubauamt Lager 1 Gnigl";"Kriegsgefangene und Zwangsarbeiter. 1 große Baracke";"KG Gnigl, 56513. Robinigstraße 57";"83/12, 83/13";"13,04593317, 47,80957449";"AStS Feuerwehrplan"
"Salzburg";"Salzburg";"Salzburg, Durchgangslager Itzling Erzherzog Eugen-Straße";"Zwangsarbeiter. Durchgangs- und Auffanglager für Pol:innen, 4 Unterkunftsbaracken für 378 Personen, Abort- und Waschbaracke, Untersuchungsbaracke (Arbeitsamt, Arzt, Polizei und Wachpersonal). Heute Landesberufsschule 5";"KG Itzling, 56524. Erzherzog-Eugen- Straße 15";"498/48";"13,03723577, 47,81965767";"Weidenholzer 2012, 123–124"
"Salzburg";"Salzburg";"Salzburg, Elisabethstraße";"Zwangsarbeiter. Reichsbahn, 1 Baracke. 1945 nicht mehr erhalten, heute Remise Bahnhof, verbaut (Bahnhof)";"KG Salzburg, 56537. Westlich Elisabethstraße 47A";"1187/15";"13,03045823, 47,81223608";"AStS Feuerwehrplan 1943; Dohle und Slupetzky 2004, 136"
"Salzburg";"Salzburg";"Salzburg, Gestapogefängnis";"Opferstätte, Gefängnis. Folterkeller und Todeszellen der Gestapo im Franziskanerkloster";"KG Salzburg, 56537. Franziskanergasse";"323, 324, 326/1";"13,043693, 47,797864";"http://www. imschatten.org/07.html"
"Salzburg";"Salzburg";"Salzburg, Itzling DAF Lager Erzherzog-Eugen-Straße";"Zwangsarbeiter. Zwangsarbeiterlager neben dem Durchgangslager, 600 Personen. Heute Musisches Gymnasium";"KG Itzling, 56524. Haunspergstraße 77";"498/42, 498/44, 498/45";"13,06780852, 47,80449312";"Dohle und Slupetzky 2004, 101–102"
"Salzburg";"Salzburg";"Salzburg, Kleinlager Städtisches Gaswerk Arbeitskommando";"Kriegsgefangene und Zwangsarbeiter. 1–2 Baracken auf dem Gelände des ehemaligen städtischen Gaswerks. Heute verbaut mit Wohnblöcken";"KG Salzburg, 56537. Roseggerstraße 3–5";"3381/7, 3381/8";"13,06030436, 47,81688595";"Kriechbaumer 1995, 295; Weidenholzer 2012, 125"
"Salzburg";"Salzburg";"Salzburg, Kleinlager Stieglbrauerei Arbeitskommando";"Zwangsarbeiter? Gegenüber den Stiegl-Stallungen 1945 ein Barackenlager von ca. 7 Gebäuden, wenige Jahre später nicht mehr vorhanden. Zwangsarbeiterlager? Wohl zerstört";"KG Maxglan, 56531. Rochusgasse 19";"740/1";"13,018489, 47,796463";"Weidenholzer 2012, 125"
"Salzburg";"Salzburg";"Salzburg, Kleinlager Tischlerei Ostertag Gnigler Straße";"Kriegsgefangene und Zwangsarbeiter. 1–2 Baracken";"KG Gnigl, 56513. Gnigler Straße 51";"90/41, 90/50";"13,06066233, 47,81837979";"Weidenholzer 2012, 125; AStS Feuerwehrplan"
"Salzburg";"Salzburg";"Salzburg, Kleinlager Weiserstraße Firma Rosenberger";"Zwangsarbeiter, eventuell Kriegsgefangene? Hoch- und Tiefbau Rosenberger, 2 Baracken. Heute verbaut (Wohnbau)";"KG Salzburg, 56537. Weiserstraße 40";"1384/3, 1384/34";"13,06428226, 47,81994885";"Weidenholzer 2012, 125; AStS Feuerwehrplan"
"Salzburg";"Salzburg";"Salzburg, Kriegsgefangenenlager Münchner Reichsstraße";"Kriegsgefangene. Kriegsgefangenenlager, Firma Altmann & Reinthaler. Siedlung General-Keyes-Straße";"KG Maxglan, 56531. Münchner Bundesstraße/ General-Keyes-Straße";"6/2, 6/4, 6/5, 6/8, 6/10, 6/11, 6/24";"13,02347421, 47,81462852";"Weidenholzer 2012, 124"
"Salzburg";"Salzburg";"Salzburg, Kriegsgefangenenlager Parsch (Brückenbaufirma Janisch, Heereszeugamt)";"Kriegsgefangene. Kriegsgefangene aus Frankreich und der Sowjetunion für Brückenbaufirma Janisch (Beschriftung Plan: Holz- und Materiallagerplatz des Heereszeugamts Freilassing [Janisch]), Lager zuvor mit flämischen Gefangenen? Heute verbaut mit Gewerbebauten und Parkplätzen";"KG Salzburg, 56537. Anton-Graf-Straße 7";"148/1, 182/3, 561/4, 561/18";"13,06021042, 47,79731509";"Weidenholzer 2012, 124"
"Salzburg";"Salzburg";"Salzburg, Kriegsgefangenenlager Scherzhauser Feld";"Kriegsgefangene. Kriegsgefangenenlager. Eventuell ident mit Salzburg, Lager Paumannplatz";"";"";"";"Weidenholzer 2012, 124"
"Salzburg";"Salzburg";"Salzburg, Kriegsgefangenenlager Schießstattstraße";"Kriegsgefangene. Kriegsgefangenenlager, mehrere Baracken. Heute Landesberufsschule, HAK";"KG Salzburg, 56537. Johann-Brunauer-Straße";"3508/1, 3508/12, 3503/22, 3503/25";"13,02287342, 47,81394965";"Weidenholzer 2012, 124"
"Salzburg";"Salzburg";"Salzburg, Kriegsgefangenenlager Schillinghofstraße (Reichsbahn?)";"Kriegsgefangene. Eventuell Reichsbahn, auf Orthofoto beziehungsweise Plan 6 Baracken neben Ziegeleiteich. Heute durch Wohnsiedlung verbaut";"KG Gnigl, 56513. Schillinghofstraße 49–52";"308/87, 308/91, 308/93, 308/95";"13,06727829, 47,81980031";"AStS Feuerwehrplan"
"Salzburg";"Salzburg";"Salzburg, Lager Annahofgründe Guggenmoosstraße";"Kriegsgefangene und Zwangsarbeiter. Kriegsgefangenenlager, insgesamt 500 Franzosen und Russen, Ladearbeiten am Bahnhof. Heute Einfamilienhaussiedlung";"KG Maxglan. 56531. Guggenmoosstraße/Wilhelm-von-Exner-Straße";"79/12, 79/13, 79/14, 79/15, 79/16, 79/17, 79/18, 79/23, 79/24, 79/25, 79/26, 79/27, 79/28, 79/29, 79/32, 79/33, 79/34, 79/35, 79/36, 79/37, 79/38, 79/39, 79/40, 79/41, 79/42, 79/43, 79/50, 79/51, 79/52, 79/53, 79/54";"13,06557809, 47,83552742";"Dohle und Slupetzky 2004, 185; Weidenholzer 2012, 125"
"Salzburg";"Salzburg";"Salzburg, Lager Fürbergstraße Firma Universale (Kriegsgefangene Verschubbahnhof)";"Kriegsgefangene. 100 flämische Kriegsgefangene, mehrere Baracken. Verbaut mit Gewerbebauten und Parkplätzen";"KG Salzburg, 56537. Anton-Graf-Straße 7";"148/1, 182/3, 561/4, 561/18";"13,02027171, 47,80657745";"Weidenholzer 2012, 113"
"Salzburg";"Salzburg";"Salzburg, Lager Grafenberg Liefering";"Zwangsarbeiter. Arbeiter für den Bau der Reichsautobahn, RAD. Mehrere Baracken, nahe Autobahn südlich des Grafenhügels. Landwirtschaftliche Nutzfläche";"KG Liefering II, 56528. Törringstraße 11C";"1138/2, randlich eventuell 1122/1, 1129, 1133, 1134";"13,03745731, 47,81898101";"Dohle 2006, 205–209; Weidenholzer 2012, 113"
"Salzburg";"Salzburg";"Salzburg, Lager Oberascher Kasern";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiter und Kriegsgefangene für Gießerei Oberascher Kasern, mindestens 1 Gefolgschaftshaus, Glockengießerei, ab 1941 Kriegsgefangene, Zwangsarbeiter. Auf Plan von 1944 mindestens 9 Baracken. Heute Gewerbebetrieb und Parkplatz";"KG Hallwang II, 56551. Söllheimer Straße 16";"2659/4, 2659/5, 2673/54";"13,06586657, 47,79385421";"Weidenholzer 2012, 125, 142 (Plan Gefolgschaftshaus), 144 (Plan Lager)"
"Salzburg";"Salzburg";"Salzburg, Lager Paumannplatz";"Kriegsgefangene. Kriegsgefangenenlager. 10 Baracken, Russen, Italiener und Serben (zuvor Franzosen, diese dann als Zivilarbeiter in Annahof). Heute moderne Wohnverbauung";"KG Salzburg, 56537. Hans-Sachs-Gasse 22–24";"2492/48, 2492/49, 3478/7, 3481/4, 3493/15, 3493/17";"13,01935915, 47,8108686";"Kerschbaumer 2012, 57; Weidenholzer 2012, 125, 129"
"Salzburg";"Salzburg";"Salzburg, Lager RAD Glanregulierung Münchner Bundesstraße";"Zwangsarbeiter. Zwangsarbeiterlager, für Glanregulierung. Heute verbaut, Siedlung General-Keyes-Straße";"KG Maxglan, 56531. General-Keyes-Straße 10";"6/8, 6/10, 6/13, 6/24";"13,06780852, 47,80449312";"Kriechbaumer 1995, 294"
"Salzburg";"Salzburg";"Salzburg, Liefering Lager Flughafen";"Zwangsarbeiter. Zwangsarbeiterlager. Anscheinend im NO des Flugfelds";"KG Maxglan, 56531. Karolingerstraße 16";"634/4, 1179/8, 1179/9, 1183/1, 1183/5, 1183/11, 1183/14, 1183/16, 1183/19, 1183/21, 1183/25, 1452/4, 1453/2, 1453/15";"13,008267, 47,794047";"Dohle und Slupetzky 2004, 136"
"Salzburg";"Salzburg";"Salzburg, Parsch-Volksgarten, Lager Zivilarbeiter Firma Grün und Bilfinger";"Kriegsgefangene und Zwangsarbeiter. Kriegsgefangenen- und Zwangsarbeiterlager. 280 Insassen für Bau Staatsbrücke (Dr. Todt-Brücke), Firma Grün und Bilfinger. Überbaut durch Eishalle Volksgarten";"KG Salzburg, 56537";"1991/2";"13,02982529, 47,8092961";"Dohle und Slupetzky 2004, 137; Weidenholzer 2012, 124"
"Salzburg";"Salzburg";"Salzburg, RAD-Lager Kleßheimer Allee-Siezenheimer Straße (Heeresbekleidungsamt)";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiterlager, Heeresbekleidungsamt, Kriegsgefangene, Arbeitserziehungslager. Bei Grabungen keine Reste gefunden. Ehemalige Struberkaserne, ehemals „Höllereisen“, rezent verbaut";"KG Maxglan, 56531. Siezenheimer Straße/Kleßheimer Allee/Julius-Welser-Straße";"120/1, 120/3, 120/4, 120/6, 120/7, 120/8, 122/2, 124/1, 124/5, 124/10, 124/14, 124/21, 124/26, 124/29, 124/30, 124/31, 124/32, 124/33, 124/36, 152/4, 152/5, 152/6, 152/15, 152/16, 152/17, 152/18, 152/19, 153/1, 154/1, 154/2, 155/1, 155/5, 159/2, 159/3, 159/4, 159/5, 159/6, 159/7, 159/8, 159/9";"13,03513575, 47,81263608";"Weidenholzer 2012, 124–125"
"Salzburg";"Salzburg";"Salzburg, Reichsbahnlager Bahnhofstraße";"Zwangsarbeiter für den Bau der Reichsbahn, 1945 Barackenlager mit ca. 6 Gebäuden. Heute Wohnblöcke";"KG Itzling, 56524. Bahnhofstraße 17–27";"247/2, 248/1, 248/5, 248/7, 248/8, 248/11, 248/12";"13,048475, 47,821316";""
"Salzburg";"Salzburg";"Salzburg, Schallmoos Vogelweiderstraße, Reichspost";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiter und 100 Kriegsgefangene für Reichspost, mehrere kleine Baracken. Heute gewerbliche Überbauung";"KG Salzburg, 56537. Vogelweiderstraße 10";"1746/1, 1746/2, 1746/4";"12,81468087, 47,28851376";"AStS Feuerwehrplan 1943; Dohle und Slupetzky 2004, 136"
"Salzburg";"Salzburg";"Salzburg, Trabrennplatz Aigen (Sammellager)";"Roma und Sinti. Sammellager für „Zigeuner“, nur Zelte, keine Bauwerke. Heute Wohnverbauung";"KG Aigen I, 56501. Johannes-Filzer-Straße";"634/147–634/214";"13,05573884, 47,80797907";"Weidenholzer 2012, 125, 128"
"Salzburg";"Salzburg";"Salzburg, Umsiedlerlager Bessarabien (Volksdeutsche), Ziegeleiteich";"Umsiedler:innen. Volksdeutsche Umsiedler aus Bessarabien, mindestens 6 große Baracken. Heute durch Wohnsiedlung verbaut";"KG Gnigl, 56513. Bundschuhstraße 22–24";"649/1, 649/7, 649/8, 649/9, 649/10, 649/11, 649/12, 649/13";"13,04246288, 47,8169721";"AStS Feuerwehrplan"
"Salzburg";"Salzburg";"Salzburg, Umsiedlerlager Parsch Fürbergstraße";"Umsiedler:innen. Umsiedlerlager für Volksdeutsche (Siebenbürgen, Polen), laut Plan mindestens 5 Unterkunftsbaracken, Kindergarten, Gepäcksbaracke. Wohnblöcke";"KG Salzburg, 56537. Mauracherstraße 3–9";"1847/1, 1847/3, 1847/7, 1847/9, 1847/10, 1847/11, 1847/13, 1847/15, 1858/2, 1858/10, 1858/32, 1858/33, 1858/43, 1858/65";"13,06780852, 47,80449312";"AStS Feuerwehrplan"
"Salzburg";"Salzburg";"Salzburg, Zigeunerlager Maxglan-Leopoldskron-Moos";"Roma und Sinti. „Zigeunerlager“, kein Befund, nur Zelte und Wagen, nicht eindeutig lokalisierbar (auf welcher Glanseite?)";"KG Leopoldskron, 56527. Schwarzgrabenweg";"1545/1, eventuell 1545/2? Weidenholzer 2012, 128";"";""
"Salzburg";"Salzburg";"Salzburg, Zigeunerlager Maxglan-Leopoldskron-Moos";"Roma und Sinti. „Zigeunerlager“, kein Befund, nur Zelte und Wagen, nicht eindeutig lokalisierbar. Zeltlager, nicht genau lokalisierbar (welche Glanseite?)";"KG Maxglan, 56531. Kräutlerweg";"1123/1, 1126/7? Weidenholzer 2012, 128";"";""
"Salzburg";"Sankt Georgen bei Salzburg";"Arbeitslager Moosach";"Sogenannte „Asoziale“. Arbeitslager. Angeblich 5 Todesfälle. Im Gasthaus Göschl";"KG Holzhausen, 56406. Moosachstraße 16";"1328/1";"12,89891, 48,005338";"www. Dorfzeitung.com"
"Salzburg";"Sankt Gilgen";"Außenlager KZ St";"Gilgen (Dachau) – Bezirksgericht, Gemeindegefängnis. KZ-Häftlinge. Außenlager KZ Dachau. Unterbringung im Gemeindekotter beim ehemaligen Bezirksgericht (errichtet 1720), in der zweiten Hälfte des 20. Jahrhunderts abgebrochen";"KG St. Gilgen, 56107. Ischlerstraße 15";"394/1";"12,98864827, 47,81803599";"Verzeichnis 1979; Benz und Distel 2005, 493–495"
"Salzburg";"Sankt Gilgen";"Außenlager KZ St";"Gilgen (Dachau) – Villa Löritz. KZ-Häftlinge (Bibelforscher). Außenlager KZ Dachau. Bauarbeiten Villa Löritz, 2 Baracken neben Villa Löritz, Fundamente erkennbar";"KG St. Gilgen, 56107. Gschwand. Informationen BA Mauthausen";"";"";""
"Salzburg";"Sankt Gilgen";"St";"Gilgen, Lager Mühlbachsau. Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiter und 216 Kriegsgefangene für Bau der Bundesstraße. Lage unklar. Dohle und Slupetzky 2004, 113";"";"";"";""
"Salzburg";"Sankt Johann im Pongau";"St";"Johann Holzwerke Adolf Simanke. Zwangsarbeiter. Bauwirtschaft, Zahl der Zwangsarbeiter unklar. Lage unklar. Dohle und Slupetzky 2004, 92";"";"";"";""
"Salzburg";"Sankt Johann im Pongau";"St";"Johann im Pongau Elektrizitätswerk. Zwangsarbeiter. Energiewirtschaft, Zahl der Zwangsarbeiter unklar. Lage unklar. Dohle und Slupetzky 2004, 137";"";"";"";""
"Salzburg";"Sankt Johann im Pongau";"St";"Johann im Pongau, Plankenau-Schinderau. Kriegsgefangene. Arbeiten im Bereich der Gemeinde und Gewerbe. Lage unklar. Dohle und Slupetzky 2004, 188";"";"";"";""
"Salzburg";"Sankt Johann im Pongau";"St";"Johann, Arge Haubner, Bittner, Reinthaler. Kriegsgefangene und Zwangsarbeiter. Bauwirtschaft, Lagerbau STALAG 317. Lage unklar. Dohle und Slupetzky 2004, 188";"";"";"";""
"Salzburg";"Sankt Johann im Pongau";"STALAG XVIII C „Markt Pongau“ – Lager Nord";"Kriegsgefangene. Kriegsgefangenenlager. 25–30 Baracken, ausschließlich Russen. Teils verbaut (Gewerbe), teils landwirtschaftlich genutzt";"KG Einöden, 55105. Industriestraße 40, 43";"13/1, 29/2, 31/1, 31/2, 31/3, 31/4, 31/5, 31/7, 31/8, 31/9, 31/10, 31/11, 31/16, 31/17, 718/1, 746/2";"13,19914822, 47,35416102";"Mooslechner 2014"
"Salzburg";"Sankt Johann im Pongau";"STALAG XVIII C „Markt Pongau“ – Lager Süd";"Kriegsgefangene. Kriegsgefangenenlager. 25–30 Baracken, Franzosen, Serben, Belgier (ab 1942), Briten, Italiener (ab 1943). Heute Wohnbebauung, Gewerbe";"KG Einöden, 55105. Gartensiedlung";"19/4, 72/7, 412/1, 412/5, 412/6, 412/7, 412/9, 412/10, 412/12, 412/13, 412/15, 412/16, 412/18, 412/20, 412/21, 412/32, 412/35, 412/38, 412/54, 412/58, 412/59, 412/62, 679/2, 679/4, 679/7, 680/6";"13,35989443, 47,58557228";"Mooslechner 2014"
"Salzburg";"Sankt Martin bei Lofer";"St";"Martin bei Lofer. Zwangsarbeiter. Bauarbeiten. Lage unklar. Dohle und Slupetzky 2004, 137";"";"";"";""
"Salzburg";"Schwarzach im Pongau";"Schloss Schernberg";"Kriegsgefangene und Umsiedler:innen. Im Parterre französische Kriegsgefangene, im 1. und 2. Obergeschoß Umsiedlerlager";"KG Schwarzach I, 55128";"1741";"13,139061, 47,325378";"Schubert 2002, 114"
"Salzburg";"Schwarzach im Pongau";"Schwarzach Reichsbahn";"Kriegsgefangene und Zwangsarbeiter. 150 Zwangsarbeiter und ca. 50 sowjetische Kriegsgefangene für Reichsbahn. Am westlichen Ortsrand, zwischen Bahn und Salzach, noch 1954 Ruinen eines großen Lagers vorhanden. Gelände gehört heute zum Kraftwerk Schwarzach beziehungsweise dessen Hafen, wohl weitgehend zerstört";"KG Schwarzach I, 55128";"1919/3, 2002/1, 2002/4, 2002/6, 2002/9";"13,139536, 47,315489";"Dohle und Slupetzky 2004, 137, 191"
"Salzburg";"Tamsweg";"Tamsweg, Gasthof Staudinger";"Kriegsgefangene und Zwangsarbeiter. 45 Franzosen. Auch bekannt als Staudingerbräu";"KG Tamsweg, 58029. Marktplatz 2";"72";"13,810703, 47,12629";"Heitzmann 1999, 12"
"Salzburg";"Tamsweg";"Verschiedene Unterkünfte";"Zwangsarbeiter. 166 Zwangsarbeiter für Landwirtschaft, Handwerk, Gewerbe. Dohle und Slupetzky 2004, 137";"";"";"";""
"Salzburg";"Thomatal";"Thomatal";"Kriegsgefangene. Franzosen";"KG Thomatal, 58030";"";"";"Heitzmann 1999, 12"
"Salzburg";"Uttendorf";"Außenlager KZ Uttendorf (Dachau) – Weißsee Lager Enzingerboden";"Kriegsgefangene und Zwangsarbeiter? Außenlager KZ Dachau. Kraftwerksbau. Genaue Lage unklar, aber einige Baracken auf dem Orthofoto erkennbar";"KG Stubach, 57023. Eventuell 552/3, 552/5, 657/2";"";"12,625421, 47,17";"Slupetzky 2004"
"Salzburg";"Uttendorf";"Außenlager KZ Uttendorf (Dachau) – Weißsee Lager Fellern in der Schneiderau";"Kriegsgefangene und Zwangsarbeiter? Außenlager KZ Dachau. Kraftwerksbau. Hochalpines Gelände";"KG Stubach, 57023";"";"";"Slupetzky 2004"
"Salzburg";"Uttendorf";"Außenlager KZ Uttendorf (Dachau) – Weißsee Lager Tauernmoos";"Kriegsgefangene. Außenlager KZ";"";"";"";""
"Salzburg";"Dachau";"Kraftwerksbau";"Hochalpines Gelände";"KG Stubach, 57023";"";"";"Slupetzky 2004"
"Salzburg";"Uttendorf";"Außenlager KZ Uttendorf (Dachau) – Weißsee Lager Wiesen";"Kriegsgefangene und Zwangsarbeiter?";"";"";"";""
"Salzburg";"Außenlager KZ Dachau";"Kraftwerksbau";"Lage der Baracke unklar";"KG Stubach, 57023";"";"";"Slupetzky 2004"
"Salzburg";"Uttendorf";"Außenlager KZ Uttendorf (Dachau) – Weißsee Lager Wirtenbach";"Kriegsgefangene und Zwangsarbeiter? Außenlager KZ Dachau. Kraftwerksbau, hochalpines Gelände";"KG Stubach, 57023";"";"";"Slupetzky 2004"
"Salzburg";"Uttendorf";"Außenlager KZ Uttendorf (Dachau) – Weißsee Rudolfshütte";"Zwangsarbeiter. Kraftwerksbau. Hochalpines Gelände, heute Rudolfshütte Neubau (Alpinzentrum)";"KG Stubach, 57023. Stubach 82";"98, .104, .107, 556/5, 557/1, 557/2";"12,48431353, 47,28745611";"Verzeichnis 1979; Benz und Distel 2005"
"Salzburg";"Uttendorf";"Uttendorf, Neubauamt, Krafthaus";"Zwangsarbeiter. Reichsbahn. Lager für Kraftwerk, auf Orthofoto erkennbar? Auf Foto bereits zur Hälfte abgebaut";"KG Schwarzenbach, 57021. Stubach 143. Eventuell 496/1, 496/5, 497/1";"";"12,567186, 47,264030";"Dohle und Slupetzky 2004, 137"
"Salzburg";"Wals-Siezenheim";"Kleßheim, Meierei";"Zwangsarbeiter. Meierei Kleßheim, 6 Baracken, jugoslawische Arbeiter? Heute Tourismusschule Kleßheim und Wiese";"KG Siezenheim I, 56542. Kleßheimer Straße 5";"1007";"12,99464161, 47,77581601";"Dohle und Slupetzky 2004, 88, Abb. 16"
"Salzburg";"Wals-Siezenheim";"Kleßheim";"Zwangsarbeiter. In Baracken, die vom Flughafen übersiedelt wurden? 200–300 Zwangsarbeiter für Ausbau Schloss Kleßheim. Parkgelände, genaue Lage unklar";"KG Siezenheim I, 56542. Dohle und Slupetzky 2004, 88";"";"";""
"Salzburg";"Wals-Siezenheim";"Wals, Gois, RAD-Lager Autobahnbau";"Zwangsarbeiter. RAD-Lager mit BDM-Lager, auch Munitionsdepot? Heute verbaut mit Schweizersiedlung (EFH)";"KG Wals I, 56546";"2670/xx (Einzelparzellen)";"13,01779139, 47,84389411";"Kriechbaumer 1995, 308"
"Salzburg";"Werfen";"Werfen, Sulzau, Arbeitslager Stegenwald";"Zwangsarbeiter. Lage des Lagers unklar. Dohle und Slupetzky 2004, 137";"";"";"";""
"Salzburg";"Werfen";"Werfen, Sulzau, Konkordiahütte";"Kriegsgefangene und Zwangsarbeiter. 184 Zwangsarbeiter und ca. 70 ukrainische Kriegsgefangene (ab 1942) für Rüstungsindustrie. Werk (heute Eisenwerk Sulzau-Werfen) im Ortsteil Tenneck, Lage der Baracken unklar";"KG Sulzau, 55511. Dohle und Slupetzky 2004, 138";"";"";""
"Salzburg";"Werfenweng";"Werfenweng";"Kriegsgefangene. Angeblich italienische Kriegsgefangene. Lage der überlieferten Baracken unklar";"";"";"";"Danner 2017, 29–30"
"Salzburg";"Zell am See";"Zell am See Bruckberg, Auffanglager Landwirtschaft";"Zwangsarbeiter. 180 Zwangsarbeiter für Landwirtschaft. Lage unklar. Dohle und Slupetzky 2004, 138";"";"";"";""
"Salzburg";"Zell am See";"Zell am See Reichsbahnlager";"Lage unklar";"";"";"";""
"Salzburg";"Zell am See";"Zell am See, Auffanglager Zellermoos";"Kriegsgefangene. Auffanglager für Kriegsgefangene, 1942 50 Gefangene (französisch?), eventuell für die Errichtung einer Segelflugschule der NSFK. Lage unklar";"KG Zell am See, 57319. Karner und Ruggenthaler 2004, 361";"";"";""
"Salzburg";"Zell am See";"Zell am See, Bruckberg, Arbeitslager Entwässerungsgemeinschaft Zeller Moos";"Kriegsgefangene und Zwangsarbeiter. 60 Zwangsarbeiter und ca. 60 Kriegsgefangene (Russen und Polen), Infrastrukturmaßnahmen für Landwirtschaft, ab Juli 1941 70 Kroaten. Lage unklar. Dohle und Slupetzky 2004, 138, 196";"";"";"";""
"Salzburg";"Zell am See";"Zell am See";"Kriegsgefangene und Zwangsarbeiter. Französische Kriegsgefangene und polnische Zwangsarbeiter. Lage unklar";"";"";"";"Nußbaumer 2011"
"Steiermark";"Admont";"Admont";"Umsiedler:innen. Wehrmachts- und Umsiedlerlager";"KG Admont, 67401";"";"";"Ludwig Boltzmann Institut für Kriegsfolgenforschung"
"Steiermark";"Admont";"Barackenlager Admont";"Wehrmachtslager. Gebirgsjäger-Ersatz-Bataillon 138, Wehrkreisverwaltung XVIII";"KG Admont, 67401";"";"";"Ludwig Boltzmann Institut für Kriegsfolgenforschung"
"Steiermark";"Altaussee";"Altaussee";"Zwangsarbeiter. Salzbergwerk, Lage der Baracken unklar";"KG Altaussee, 67001. Lichtersberg";"1393/1";"13,750189, 47,630524";"Benz und Distel 2006"
"Steiermark";"Ardning";"Erziehungslager Frauenberg";"Zwangsarbeiter. Erziehungslager. Wurde für mögliche KZ-Eignung geprüft, Einsatz für Straßenbau, Arbeit in Steinbrüchen. Lage unklar";"KG Ardning, 67403. Benz und Distel 2006";"";"";"Rafetseder 2014, 111"
"Steiermark";"Arnfels";"Arnfels";"Arbeitsmaidenlager";"KG Arnfels, 66002";"";"";"Ludwig Boltzmann Institut für Kriegsfolgenforschung"
"Steiermark";"Bad Loipersdorf";"Dietersdorf bei Fürstenfeld";"Umsiedler:innen, später Roma und Sinti. 1940 RAD-Lager, danach Umsiedlerlager (VOMI), danach „Zigeunerlager“. Anfangs 12, am Ende 20 Baracken, bis zu 1000 Menschen in einem Waldstück unweit Bahnhof Fürstenfeld. Lage unklar";"KG Dietersdorf, 62208";"";"";"Schubert 2002, 36; Teichmann und Urbaner 2009, 192–193; Schweitzer 2017, 5 ff.; Schweitzer 2019, 233"
"Steiermark";"Bad Schwanberg";"Schwanberg";"Arbeitsmaiden. Arbeitsmaiden-Lager (11/220) im ehemaligen Kloster";"KG Schwanberg, 61057. Hauptplatz 1";"87/7";"15,198782, 46,755692";"Zenz 2010. Ludwig Boltzmann Institut für Kriegsfolgenforschung"
"Steiermark";"Bärnbach oder Köflach";"Lager Bärnbach Bergwerk Marienschacht";"Kriegsgefangene, eventuell auch Zwangsarbeiter. Lager der Alpine-Montan Gesellschaft. Kriegsgefangene, darunter Briten, für Tagebau in der Rotte";"";"";"";""
"Steiermark";"Marienschacht";"Lage des Lagers unklar";"";"";"";"";"Amschl 2015, 146, 175–176. https://de.wikipedia.org/wiki/Marienschacht_(Gemeinde_B%C3%A4rnbach)"
"Steiermark";"Bärnbach";"Bärnbach";"Zwangsarbeiter. Glashütte Oberdorf";"KG Hochtregist, 63322";"1233";"15,131726, 47,07191";"Formeier 2016, 48"
"Steiermark";"Bärnbach";"Bärnbach";"Zwangsarbeiter. Ziegelwerk Bärnbach";"KG Bärnbach, 63303";"214";"15,119678, 47,07458";"Formeier 2016, 48"
"Steiermark";"Birkfeld";"Birkfeld, Haslau";"RAD-Lager";"KG Haslau, 68013";"";"";"Ludwig Boltzmann Institut für Kriegsfolgenforschung"
"Steiermark";"Breitenau am Hochlantsch";"Breitenau";"Zwangsarbeiter. Magnesitwerk, Zwangsarbeiterbaracken am Betriebsgelände. Zwangsarbeiter für Veitscher Magnesitwerke AG, Magnesitwerk und Bergbau. Lage des Arbeitslagers unklar";"KG Erhardstraße, 60010. Magnesitstraße 30";"115, .219, .261, .399, 820/6";"15,43913, 47,389397";"Benz und Distel 2006"
