"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Wien";"1. Bezirk";"Wien Renngasse 10";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Innere Stadt, 01004. Renngasse 10";"236";"16,367362, 48,212492";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"1. Bezirk";"Wien Stoß im Himmel";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter";"KG Innere Stadt, 01004. Stoß im Himmel";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"1. Bezirk";"Wien Wächtergasse 1";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen, Arbeit bei Wiener Küchenbetrieben";"KG Innere Stadt, 01004. Wächtergasse 1";"241";"16,366915, 48,212225";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"1. Bezirk";"Wien Wollzeile 13";"Zwangsarbeiter. Zwangsarbeiterlager für niederländische Zwangsarbeiter, Arbeit für Ostmärkischen Zeitungsverlag";"KG Innere Stadt, 01004. Wollzeile 13";"755";"16,375628, 48,208739";"Rafetseder 2017. 2. Bezirk. OT Lager 8 (Engerthstraße 27). Zwangsarbeiter. Zwangsarbeiterlager für russische, italienische und polnische Zwangsarbeiter. KG Leopoldstadt, 01657. 16,421361, 48,212296. Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"2. Bezirk";"Wien Adambergergasse";"Zwangsarbeiter. Zwangsarbeiterlager für jugoslawische Zwangsarbeiter:innen";"KG Leopoldstadt, 01657. Adambergergasse 1–2";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"2. Bezirk";"Wien Ausstellungsstraße 51";"Zwangsarbeiter. Zwangsarbeiterlager für polnische Zwangsarbeiter:innen";"KG Leopoldstadt, 01657. Ausstellungsstraße 51";"1473/126, 1473/272";"16,405688, 48,218241";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"2. Bezirk";"Wien Ausstellungsstraße 137";"Zwangsarbeiter. Zwangsarbeiterlager für jugoslawische Zwangsarbeiter:innen";"KG Leopoldstadt, 01657. Ausstellungsstraße";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"2. Bezirk";"Wien Ausstellungsstraße 178";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen, Arbeit bei Gemeinde Wien, Wiener Hafen- und Lagerhaus AG";"KG Leopoldstadt, 01657. Ausstellungsstraße";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"2. Bezirk";"Wien Ausstellungsstraße 247";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen, Arbeit bei Gemeinde Wien, Wiener Hafen- und Lagerhaus AG";"KG Leopoldstadt, 01657. Ausstellungsstraße";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"2. Bezirk";"Wien Ausstellungsstraße";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter:innen";"KG Leopoldstadt, 01657. Ausstellungsstraße";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
